,ligand,receptor,novel,species
6162,INSL6,P2RY1,LR,Human
6163,INSL6,P2RY4,LR,Human
6164,INSL6,P2RY8,LR,Human
6165,ISLR,ADGRL3,LR,Human
6166,ISLR,DSCAML1,LR,Human
6167,ISLR,INSRR,LR,Human
6168,ISLR,LRP1B,L,Human
6169,ISLR,MEGF11,LR,Human
6170,ISLR,MRC1,L,Human
6171,ISLR,NFASC,L,Human
6172,ISLR,PTPRD,L,Human
6173,ISLR,SDK1,LR,Human
6174,ISLR,SDK2,L,Human
6175,ISLR,STAB1,L,Human
6176,JCHAIN,GPER1,LR,Human
6177,JCHAIN,P2RY1,LR,Human
6178,JCHAIN,P2RY4,LR,Human
6179,KAZALD1,ADGRL3,LR,Human
6180,KAZALD1,DSCAML1,LR,Human
6181,KAZALD1,INSRR,LR,Human
6182,KAZALD1,LRP1B,L,Human
6183,KAZALD1,NFASC,L,Human
6184,KAZALD1,PTPRD,L,Human
6185,KAZALD1,SDK1,LR,Human
6186,KAZALD1,SDK2,L,Human
6187,KCP,INSRR,LR,Human
6188,KCP,LRP1B,L,Human
6189,KLK10,INSRR,LR,Human
6190,KLK10,LRP1B,L,Human
6191,KRTDAP,ADRA1B,L,Human
6192,KRTDAP,CD180,L,Human
6193,KRTDAP,CHRM2,L,Human
6194,KRTDAP,CHRM5,L,Human
6195,KRTDAP,DRD3,L,Human
6196,KRTDAP,GPER1,LR,Human
6197,KRTDAP,GPR15,LR,Human
6198,KRTDAP,GPR17,LR,Human
6199,KRTDAP,GPR174,LR,Human
6200,KRTDAP,GPR4,LR,Human
6201,KRTDAP,GPR83,L,Human
6202,KRTDAP,GPR87,LR,Human
6203,KRTDAP,GRM2,L,Human
6204,KRTDAP,GRM6,LR,Human
6205,KRTDAP,GRM8,L,Human
6206,KRTDAP,INSRR,LR,Human
6207,KRTDAP,LPAR5,LR,Human
6208,KRTDAP,P2RY1,LR,Human
6209,KRTDAP,P2RY2,LR,Human
6210,KRTDAP,P2RY4,LR,Human
6211,KRTDAP,P2RY6,L,Human
6212,KRTDAP,P2RY8,LR,Human
6213,KRTDAP,S1PR2,L,Human
6214,KRTDAP,TLR10,LR,Human
6215,LAD1,ADGRL3,LR,Human
6216,LAD1,CHRM2,L,Human
6217,LAD1,GPER1,LR,Human
6218,LAD1,GRM2,L,Human
6219,LAD1,GRM6,LR,Human
6220,LAD1,INSRR,LR,Human
6221,LAD1,LRP1B,L,Human
6222,LAD1,NFASC,L,Human
6223,LAD1,PTPRD,L,Human
6224,LAD1,S1PR2,L,Human
6225,LALBA,CHRM2,L,Human
6226,LALBA,FFAR3,LR,Human
6227,LALBA,GPER1,LR,Human
6228,LALBA,GPR15,LR,Human
6229,LALBA,GPR17,LR,Human
6230,LALBA,GPR174,LR,Human
6231,LALBA,GPR183,LR,Human
6232,LALBA,GPR3,LR,Human
6233,LALBA,GPR4,LR,Human
6234,LALBA,GPR87,LR,Human
6235,LALBA,GRM2,L,Human
6236,LALBA,LPAR5,LR,Human
6237,LALBA,LTB4R,LR,Human
6238,LALBA,LTB4R2,LR,Human
6239,LALBA,P2RY1,LR,Human
6240,LALBA,P2RY2,LR,Human
6241,LALBA,P2RY4,LR,Human
6242,LALBA,P2RY6,L,Human
6243,LALBA,P2RY8,LR,Human
6244,LALBA,PTAFR,LR,Human
6245,LALBA,S1PR2,L,Human
6246,LEAP2,GPER1,R,Human
6247,LEAP2,GPR3,R,Human
6248,LEAP2,GPR4,R,Human
6249,LEAP2,GPR6,R,Human
6250,LEAP2,GRM6,R,Human
6251,LEAP2,LPAR5,R,Human
6252,LEAP2,LTB4R2,R,Human
6253,LEAP2,P2RY1,R,Human
6254,LEAP2,P2RY2,R,Human
6255,LEAP2,P2RY4,R,Human
6256,LEAP2,P2RY8,R,Human
6257,LGI3,ADGRL3,R,Human
6258,LGI3,DSCAML1,R,Human
6259,LGI3,INSRR,R,Human
6260,LGI3,MEGF11,R,Human
6261,LGI3,SDK1,R,Human
6262,LGI4,INSRR,R,Human
6263,LINC00305,GPER1,LR,Human
6264,LRG1,INSRR,LR,Human
6265,LRG1,LRP1B,L,Human
6266,LTBP2,INSRR,LR,Human
6267,LTBP2,LRP1B,L,Human
6268,LTBP4,INSRR,LR,Human
6269,LTBP4,LRP1B,L,Human
6270,LY6G5B,GPER1,LR,Human
6271,LY6G5B,GPR132,LR,Human
6272,LY6G5B,GPR17,LR,Human
6273,LY6G5B,GPR4,LR,Human
6274,LY6G5B,GPR87,LR,Human
6275,LY6G5B,GRM2,L,Human
6276,LY6G5B,INSRR,LR,Human
6277,LY6G5B,LPAR5,LR,Human
6278,LY6G5B,LRP1B,L,Human
6279,LY6G5B,LTB4R,LR,Human
6280,LY6G5B,LTB4R2,LR,Human
6281,LY6G5B,P2RY1,LR,Human
6282,LY6G5B,P2RY2,LR,Human
6283,LY6G5B,P2RY4,LR,Human
6284,LY6G5B,P2RY6,L,Human
6285,LY6G5B,P2RY8,LR,Human
6286,LY6G5B,S1PR2,L,Human
6287,LY6K,GPER1,LR,Human
6288,LY6K,GRM2,L,Human
6289,LY6K,P2RY1,LR,Human
6290,LY6K,P2RY4,LR,Human
6291,LY6K,P2RY8,LR,Human
6292,LY6K,S1PR2,L,Human
6293,LYPD6,ADGRL3,LR,Human
6294,LYPD6,INSRR,LR,Human
6295,LYPD6,LRP1B,L,Human
6296,LYPD6,NFASC,L,Human
6297,LYPD6,PTPRD,L,Human
6298,LYPD6,SDK1,LR,Human
6299,LYPD6,SDK2,L,Human
6300,LYZL1,CHRM2,L,Human
6301,LYZL1,GPER1,LR,Human
6302,LYZL1,GRM2,L,Human
6303,LYZL1,LTB4R2,LR,Human
6304,LYZL1,P2RY1,LR,Human
6305,LYZL1,P2RY2,LR,Human
6306,LYZL1,P2RY4,LR,Human
6307,LYZL1,P2RY8,LR,Human
6308,LYZL1,S1PR2,L,Human
6309,LYZL2,GPER1,LR,Human
6310,LYZL2,GRM2,L,Human
6311,LYZL2,P2RY1,LR,Human
6312,LYZL2,P2RY2,LR,Human
6313,LYZL2,P2RY4,LR,Human
6314,LYZL2,P2RY8,LR,Human
6315,LYZL2,S1PR2,L,Human
6316,LYZL6,CHRM2,L,Human
6317,LYZL6,DRD3,L,Human
6318,LYZL6,GPER1,LR,Human
6319,LYZL6,GPR6,LR,Human
6320,LYZL6,GRM2,L,Human
6321,LYZL6,LTB4R2,LR,Human
6322,LYZL6,P2RY1,LR,Human
6323,LYZL6,P2RY2,LR,Human
6324,LYZL6,P2RY4,LR,Human
6325,LYZL6,P2RY8,LR,Human
6326,LYZL6,S1PR2,L,Human
6327,MAPT,ADGRL3,LR,Human
6328,MAPT,CHRM2,L,Human
6329,MAPT,GRM2,L,Human
6330,MAPT,GRM6,LR,Human
6331,MAPT,INSRR,LR,Human
6332,MAPT,LRP1B,L,Human
6333,MAPT,NFASC,L,Human
6334,MAPT,PTPRD,L,Human
6335,MAPT,SDK2,L,Human
6336,MATN4,INSRR,LR,Human
6337,MATN4,LRP1B,L,Human
6338,MATN4,MEGF11,LR,Human
6339,MATN4,MRC1,L,Human
6340,MATN4,NFASC,L,Human
6341,MATN4,SDK1,LR,Human
6342,MATN4,SDK2,L,Human
6343,MATN4,STAB1,L,Human
6344,MEGF6,INSRR,LR,Human
6345,MEGF6,LRP1B,L,Human
6346,METRN,ADGRL3,LR,Human
6347,METRN,INSRR,LR,Human
6348,METRN,LRP1B,L,Human
6349,METRN,NFASC,L,Human
6350,METRN,PTPRD,L,Human
6351,METRN,SDK1,LR,Human
6352,METRN,SDK2,L,Human
6353,METRNL,ADGRL3,LR,Human
6354,METRNL,INSRR,LR,Human
6355,METRNL,LRP1B,L,Human
6356,METRNL,NFASC,L,Human
6357,METRNL,PTPRD,L,Human
6358,METRNL,SDK1,LR,Human
6359,METRNL,SDK2,L,Human
6360,METTL24,ADGRL3,LR,Human
6361,METTL24,INSRR,LR,Human
6362,METTL24,LRP1B,L,Human
6363,METTL24,NFASC,L,Human
6364,METTL24,PTPRD,L,Human
6365,METTL24,SDK2,L,Human
6366,MGP,GPER1,LR,Human
6367,MGP,GRM2,L,Human
6368,MGP,P2RY1,LR,Human
6369,MGP,P2RY2,LR,Human
6370,MGP,P2RY4,LR,Human
6371,MGP,P2RY8,LR,Human
6372,MMRN2,INSRR,R,Human
6373,MSLN,INSRR,LR,Human
6374,MSLN,LRP1B,L,Human
6375,MSMP,INSRR,R,Human
6376,MT-RNR2,GPER1,R,Human
6377,MT-RNR2,P2RY1,R,Human
6378,MT-RNR2,P2RY4,R,Human
6379,MTRNR2L1,GPER1,LR,Human
6380,MTRNR2L1,P2RY1,LR,Human
6381,MTRNR2L1,P2RY4,LR,Human
6382,MTRNR2L10,GPER1,LR,Human
6383,MTRNR2L10,P2RY1,LR,Human
6384,MTRNR2L10,P2RY4,LR,Human
6385,MTRNR2L11,GPER1,LR,Human
6386,MTRNR2L11,P2RY1,LR,Human
6387,MTRNR2L11,P2RY4,LR,Human
6388,MTRNR2L12,GPER1,LR,Human
6389,MTRNR2L12,P2RY1,LR,Human
6390,MTRNR2L12,P2RY4,LR,Human
6391,MTRNR2L13,GPER1,LR,Human
6392,MTRNR2L13,P2RY1,LR,Human
6393,MTRNR2L13,P2RY4,LR,Human
6394,MTRNR2L2,GPER1,LR,Human
6395,MTRNR2L2,P2RY1,LR,Human
6396,MTRNR2L2,P2RY4,LR,Human
6397,MTRNR2L3,GPER1,LR,Human
6398,MTRNR2L3,P2RY1,LR,Human
6399,MTRNR2L3,P2RY4,LR,Human
6400,MTRNR2L4,GPER1,LR,Human
6401,MTRNR2L4,P2RY1,LR,Human
6402,MTRNR2L4,P2RY4,LR,Human
6403,MTRNR2L5,GPER1,LR,Human
6404,MTRNR2L5,P2RY1,LR,Human
6405,MTRNR2L5,P2RY4,LR,Human
6406,MTRNR2L6,GPER1,LR,Human
6407,MTRNR2L6,P2RY1,LR,Human
6408,MTRNR2L6,P2RY4,LR,Human
6409,MTRNR2L7,GPER1,LR,Human
6410,MTRNR2L7,P2RY1,LR,Human
6411,MTRNR2L7,P2RY4,LR,Human
6412,MTRNR2L8,GPER1,LR,Human
6413,MTRNR2L8,P2RY1,LR,Human
6414,MTRNR2L8,P2RY4,LR,Human
6415,MTRNR2L9,GPER1,LR,Human
6416,MTRNR2L9,P2RY1,LR,Human
6417,MTRNR2L9,P2RY4,LR,Human
6418,NBL1,ADGRL3,LR,Human
6419,NBL1,GPER1,LR,Human
6420,NBL1,GRM2,L,Human
6421,NBL1,INSRR,LR,Human
6422,NBL1,LRP1B,L,Human
6423,NBL1,NFASC,L,Human
6424,NBL1,S1PR2,L,Human
6425,NDFIP1,ADGRL3,LR,Human
6426,NDFIP1,INSRR,LR,Human
6427,NDFIP1,LRP1B,L,Human
6428,NDFIP1,NFASC,L,Human
6429,NDFIP1,PTPRD,L,Human
6430,NENF,GPER1,LR,Human
6431,NENF,INSRR,LR,Human
6432,NETO1,ADGRL3,LR,Human
6433,NETO1,DSCAML1,LR,Human
6434,NETO1,INSRR,LR,Human
6435,NETO1,LRP1B,L,Human
6436,NETO1,NFASC,L,Human
6437,NETO1,PTPRD,L,Human
6438,NETO1,SDK1,LR,Human
6439,NETO1,SDK2,L,Human
6440,NINJ1,ADGRL3,LR,Human
6441,NINJ1,INSRR,LR,Human
6442,NINJ1,LRP1B,L,Human
6443,NINJ1,NFASC,L,Human
6444,NINJ1,PTPRD,L,Human
6445,NINJ1,SDK2,L,Human
6446,NOTCH2NLB,INSRR,LR,Human
6447,NOTCH2NLB,LRP1B,L,Human
6448,NSUN2,GPER1,LR,Human
6449,NTN5,ADGRL3,LR,Human
6450,NTN5,INSRR,LR,Human
6451,NTN5,LRP1B,L,Human
6452,NTN5,NFASC,L,Human
6453,NTN5,PTPRD,L,Human
6454,NTN5,SDK2,L,Human
6455,NXPH4,ADGRL3,LR,Human
6456,NXPH4,INSRR,LR,Human
6457,NXPH4,LRP1B,L,Human
6458,NXPH4,NFASC,L,Human
6459,NXPH4,PTPRD,L,Human
6460,NXPH4,SDK2,L,Human
6461,NYX,ADGRL3,LR,Human
6462,NYX,INSRR,LR,Human
6463,NYX,LRP1B,L,Human
6464,NYX,NFASC,L,Human
6465,NYX,PTPRD,L,Human
6466,NYX,SDK2,L,Human
6467,ODAM,ADRA1B,L,Human
6468,ODAM,ADRA2C,L,Human
6469,ODAM,CASR,L,Human
6470,ODAM,CD180,L,Human
6471,ODAM,CHRM2,L,Human
6472,ODAM,CHRM5,L,Human
6473,ODAM,CYSLTR2,LR,Human
6474,ODAM,DRD1,L,Human
6475,ODAM,DRD3,L,Human
6476,ODAM,DRD5,L,Human
6477,ODAM,FFAR3,LR,Human
6478,ODAM,FFAR4,LR,Human
6479,ODAM,GPER1,LR,Human
6480,ODAM,GPR12,LR,Human
6481,ODAM,GPR132,LR,Human
6482,ODAM,GPR15,LR,Human
6483,ODAM,GPR17,LR,Human
6484,ODAM,GPR174,LR,Human
6485,ODAM,GPR183,LR,Human
6486,ODAM,GPR3,LR,Human
6487,ODAM,GPR34,LR,Human
6488,ODAM,GPR4,LR,Human
6489,ODAM,GPR83,L,Human
6490,ODAM,GPR87,LR,Human
6491,ODAM,GRM2,L,Human
6492,ODAM,GRM6,LR,Human
6493,ODAM,GRM8,L,Human
6494,ODAM,INSRR,LR,Human
6495,ODAM,LPAR5,LR,Human
6496,ODAM,LTB4R,LR,Human
6497,ODAM,LTB4R2,LR,Human
6498,ODAM,NPY4R2,LR,Human
6499,ODAM,OPN4,LR,Human
6500,ODAM,P2RY1,LR,Human
6501,ODAM,P2RY10,LR,Human
6502,ODAM,P2RY2,LR,Human
6503,ODAM,P2RY4,LR,Human
6504,ODAM,P2RY6,L,Human
6505,ODAM,P2RY8,LR,Human
6506,ODAM,PTAFR,LR,Human
6507,ODAM,S1PR2,L,Human
6508,ODAM,TLR10,LR,Human
6509,OMD,INSRR,LR,Human
6510,OMD,LRP1B,L,Human
6511,OPRPN,GPER1,LR,Human
6512,OTOG,INSRR,LR,Human
6513,OTOG,LRP1B,L,Human
6514,OTOR,ADGRL3,LR,Human
6515,OTOR,INSRR,LR,Human
6516,OTOR,LRP1B,L,Human
6517,OTOR,NFASC,L,Human
6518,OTOR,PTPRD,L,Human
6519,OTOR,SDK2,L,Human
6520,PAPLN,INSRR,R,Human
6521,PATE1,GPER1,LR,Human
6522,PATE1,GRM2,L,Human
6523,PATE1,P2RY1,LR,Human
6524,PATE1,P2RY2,LR,Human
6525,PATE1,P2RY4,LR,Human
6526,PATE1,P2RY8,LR,Human
6527,PATE1,S1PR2,L,Human
6528,PATE2,CD180,L,Human
6529,PATE2,CHRM2,L,Human
6530,PATE2,DRD3,L,Human
6531,PATE2,FFAR3,LR,Human
6532,PATE2,GPER1,LR,Human
6533,PATE2,GPR132,LR,Human
6534,PATE2,GPR15,LR,Human
6535,PATE2,GPR17,LR,Human
6536,PATE2,GPR174,LR,Human
6537,PATE2,GPR183,LR,Human
6538,PATE2,GPR3,LR,Human
6539,PATE2,GPR34,LR,Human
6540,PATE2,GPR4,LR,Human
6541,PATE2,GPR87,LR,Human
6542,PATE2,GRM2,L,Human
6543,PATE2,GRM6,LR,Human
6544,PATE2,GRM8,L,Human
6545,PATE2,INSRR,LR,Human
6546,PATE2,LPAR5,LR,Human
6547,PATE2,LTB4R,LR,Human
6548,PATE2,LTB4R2,LR,Human
6549,PATE2,P2RY1,LR,Human
6550,PATE2,P2RY2,LR,Human
6551,PATE2,P2RY4,LR,Human
6552,PATE2,P2RY6,L,Human
6553,PATE2,P2RY8,LR,Human
6554,PATE2,PTAFR,LR,Human
6555,PATE2,S1PR2,L,Human
6556,PATE2,TLR10,LR,Human
6557,PATE3,CHRM2,L,Human
6558,PATE3,CYSLTR2,LR,Human
6559,PATE3,DRD3,L,Human
6560,PATE3,FFAR3,LR,Human
6561,PATE3,GPER1,LR,Human
6562,PATE3,GPR132,LR,Human
6563,PATE3,GPR15,LR,Human
6564,PATE3,GPR17,LR,Human
6565,PATE3,GPR174,LR,Human
6566,PATE3,GPR183,LR,Human
6567,PATE3,GPR3,LR,Human
6568,PATE3,GPR4,LR,Human
6569,PATE3,GPR87,LR,Human
6570,PATE3,GRM2,L,Human
6571,PATE3,GRM6,LR,Human
6572,PATE3,GRM8,L,Human
6573,PATE3,LPAR5,LR,Human
6574,PATE3,LTB4R,LR,Human
6575,PATE3,LTB4R2,LR,Human
6576,PATE3,P2RY1,LR,Human
6577,PATE3,P2RY2,LR,Human
6578,PATE3,P2RY4,LR,Human
6579,PATE3,P2RY6,L,Human
6580,PATE3,P2RY8,LR,Human
6581,PATE3,PTAFR,LR,Human
6582,PATE3,S1PR2,L,Human
6583,PATE3,TLR10,LR,Human
6584,PATE4,CHRM2,L,Human
6585,PATE4,DRD3,L,Human
6586,PATE4,FFAR3,LR,Human
6587,PATE4,GPER1,LR,Human
6588,PATE4,GPR15,LR,Human
6589,PATE4,GPR17,LR,Human
6590,PATE4,GPR174,LR,Human
6591,PATE4,GPR183,LR,Human
6592,PATE4,GPR3,LR,Human
6593,PATE4,GPR4,LR,Human
6594,PATE4,GPR87,LR,Human
6595,PATE4,GRM2,L,Human
6596,PATE4,LPAR5,LR,Human
6597,PATE4,LTB4R,LR,Human
6598,PATE4,LTB4R2,LR,Human
6599,PATE4,P2RY1,LR,Human
6600,PATE4,P2RY2,LR,Human
6601,PATE4,P2RY4,LR,Human
6602,PATE4,P2RY6,L,Human
6603,PATE4,P2RY8,LR,Human
6604,PATE4,PTAFR,LR,Human
6605,PATE4,S1PR2,L,Human
6606,PCDHA1,ADGRL3,LR,Human
6607,PCDHA1,INSRR,LR,Human
6608,PCDHA1,LRP1B,L,Human
6609,PCDHA1,NFASC,L,Human
6610,PCDHA1,PTPRD,L,Human
6611,PCDHA1,SDK2,L,Human
6612,PCOLCE,ADGRL3,LR,Human
6613,PCOLCE,DSCAML1,LR,Human
6614,PCOLCE,INSRR,LR,Human
6615,PCOLCE,LRP1B,L,Human
6616,PCOLCE,NFASC,L,Human
6617,PCOLCE,PTPRD,L,Human
6618,PCOLCE,SDK1,LR,Human
6619,PCOLCE,SDK2,L,Human
6620,PDZD11,ADGRL3,LR,Human
6621,PDZD11,CHRM2,L,Human
6622,PDZD11,DSCAML1,LR,Human
6623,PDZD11,GPER1,LR,Human
6624,PDZD11,GRM2,L,Human
6625,PDZD11,INSRR,LR,Human
6626,PDZD11,LRP1B,L,Human
6627,PDZD11,NFASC,L,Human
6628,PDZD11,PTPRD,L,Human
6629,PDZD11,S1PR2,L,Human
6630,PDZD11,SDK1,LR,Human
6631,PDZD11,SDK2,L,Human
6632,PDZD2,ADGRL3,LR,Human
6633,PDZD2,INSRR,LR,Human
6634,PDZD2,LRP1B,L,Human
6635,PDZD2,NFASC,L,Human
6636,PDZD2,PTPRD,L,Human
6637,PF4V1,FFAR3,R,Human
6638,PF4V1,GPER1,R,Human
6639,PF4V1,GPR15,R,Human
6640,PF4V1,GPR17,R,Human
6641,PF4V1,GPR3,R,Human
6642,PF4V1,GPR4,R,Human
6643,PF4V1,GPR87,R,Human
6644,PF4V1,LPAR5,R,Human
6645,PF4V1,LTB4R,R,Human
6646,PF4V1,LTB4R2,R,Human
6647,PF4V1,P2RY1,R,Human
6648,PF4V1,P2RY2,R,Human
6649,PF4V1,P2RY4,R,Human
6650,PF4V1,P2RY8,R,Human
6651,PI16,INSRR,R,Human
6652,PIBF1,INSRR,LR,Human
6653,PIBF1,LRP1B,L,Human
6654,PKDCC,INSRR,LR,Human
6655,PKDCC,LRP1B,L,Human
6656,PLAC9,ADGRL3,LR,Human
6657,PLAC9,GRM2,L,Human
6658,PLAC9,GRM6,LR,Human
6659,PLAC9,INSRR,LR,Human
6660,PLAC9,LRP1B,L,Human
6661,PLAC9,NFASC,L,Human
6662,PLXDC1,ADGRL3,LR,Human
6663,PLXDC1,INSRR,LR,Human
6664,PLXDC1,LRP1B,L,Human
6665,PLXDC1,NFASC,L,Human
6666,PLXDC1,PTPRD,L,Human
6667,PLXDC1,SDK2,L,Human
6668,PODN,ADGRL3,LR,Human
6669,PODN,DSCAML1,LR,Human
6670,PODN,INSRR,LR,Human
6671,PODN,LRP1B,L,Human
6672,PODN,MEGF11,LR,Human
6673,PODN,MRC1,L,Human
6674,PODN,NFASC,L,Human
6675,PODN,PTPRD,L,Human
6676,PODN,SDK1,LR,Human
6677,PODN,SDK2,L,Human
6678,PODN,STAB1,L,Human
6679,PODNL1,ADGRL3,LR,Human
6680,PODNL1,DSCAML1,LR,Human
6681,PODNL1,INSRR,LR,Human
6682,PODNL1,LRP1B,L,Human
6683,PODNL1,MEGF11,LR,Human
6684,PODNL1,MRC1,L,Human
6685,PODNL1,NFASC,L,Human
6686,PODNL1,PTPRD,L,Human
6687,PODNL1,SDK1,LR,Human
6688,PODNL1,SDK2,L,Human
6689,PODNL1,STAB1,L,Human
6690,PPT1,GPER1,LR,Human
6691,PPT1,P2RY4,LR,Human
6692,PRAP1,CHRM2,L,Human
6693,PRAP1,GPER1,LR,Human
6694,PRAP1,GRM2,L,Human
6695,PRAP1,P2RY1,LR,Human
6696,PRAP1,P2RY2,LR,Human
6697,PRAP1,P2RY4,LR,Human
6698,PRAP1,P2RY8,LR,Human
6699,PRAP1,S1PR2,L,Human
6700,PRELP,INSRR,LR,Human
6701,PRELP,LRP1B,L,Human
6702,PRELP,MEGF11,LR,Human
6703,PRELP,MRC1,L,Human
6704,PRELP,NFASC,L,Human
6705,PRELP,SDK1,LR,Human
6706,PRELP,SDK2,L,Human
6707,PRELP,STAB1,L,Human
6708,PRG2,GPER1,LR,Human
6709,PRG2,GRM2,L,Human
6710,PRG2,P2RY1,LR,Human
6711,PRG2,P2RY4,LR,Human
6712,PRH1,INSRR,LR,Human
6713,PRH1,LRP1B,L,Human
6714,PRO2829,GPER1,LR,Human
6715,PRO2829,P2RY1,LR,Human
6716,PRO2829,P2RY4,LR,Human
6717,PROZ,INSRR,LR,Human
6718,PROZ,LRP1B,L,Human
6719,PRR27,CHRM2,L,Human
6720,PRR27,FFAR3,LR,Human
6721,PRR27,GPER1,LR,Human
6722,PRR27,GPR17,LR,Human
6723,PRR27,GPR183,LR,Human
6724,PRR27,GPR4,LR,Human
6725,PRR27,GPR87,LR,Human
6726,PRR27,GRM2,L,Human
6727,PRR27,INSRR,LR,Human
6728,PRR27,LRP1B,L,Human
6729,PRR27,P2RY1,LR,Human
6730,PRR27,P2RY2,LR,Human
6731,PRR27,P2RY4,LR,Human
6732,PRR27,P2RY8,LR,Human
6733,PRR27,S1PR2,L,Human
6734,PRR4,INSRR,LR,Human
6735,PRR4,LRP1B,L,Human
6736,PRSS38,INSRR,LR,Human
6737,PRSS38,LRP1B,L,Human
6738,PRSS47,INSRR,LR,Human
6739,PRSS47,LRP1B,L,Human
6740,PRSS53,INSRR,LR,Human
6741,PRSS53,LRP1B,L,Human
6742,PRSS54,INSRR,LR,Human
6743,PRSS54,LRP1B,L,Human
6744,PTEN,ADGRL3,LR,Human
6745,PTEN,DSCAML1,LR,Human
6746,PTEN,INSRR,LR,Human
6747,PTEN,LRP1B,L,Human
6748,PTEN,NFASC,L,Human
6749,PTEN,PTPRD,L,Human
6750,PTEN,SDK1,LR,Human
6751,PTEN,SDK2,L,Human
6752,PTX4,ADGRL3,LR,Human
6753,PTX4,INSRR,LR,Human
6754,PTX4,LRP1B,L,Human
6755,PTX4,NFASC,L,Human
6756,PTX4,PTPRD,L,Human
6757,PTX4,SDK2,L,Human
6758,PYY2,ADRA1B,L,Human
6759,PYY2,ADRA2C,L,Human
6760,PYY2,CD180,L,Human
6761,PYY2,CHRM2,L,Human
6762,PYY2,CHRM5,L,Human
6763,PYY2,CYSLTR2,LR,Human
6764,PYY2,DRD1,L,Human
6765,PYY2,DRD3,L,Human
6766,PYY2,DRD5,L,Human
6767,PYY2,FFAR3,LR,Human
6768,PYY2,FFAR4,LR,Human
6769,PYY2,GPER1,LR,Human
6770,PYY2,GPR12,LR,Human
6771,PYY2,GPR132,LR,Human
6772,PYY2,GPR15,LR,Human
6773,PYY2,GPR17,LR,Human
6774,PYY2,GPR174,LR,Human
6775,PYY2,GPR183,LR,Human
6776,PYY2,GPR3,LR,Human
6777,PYY2,GPR34,LR,Human
6778,PYY2,GPR4,LR,Human
6779,PYY2,GPR6,LR,Human
6780,PYY2,GPR83,L,Human
6781,PYY2,GPR87,LR,Human
6782,PYY2,GRM2,L,Human
6783,PYY2,GRM6,LR,Human
6784,PYY2,GRM8,L,Human
6785,PYY2,LPAR5,LR,Human
6786,PYY2,LTB4R,LR,Human
6787,PYY2,LTB4R2,LR,Human
6788,PYY2,NPY4R2,LR,Human
6789,PYY2,P2RY1,LR,Human
6790,PYY2,P2RY10,LR,Human
6791,PYY2,P2RY2,LR,Human
6792,PYY2,P2RY4,LR,Human
6793,PYY2,P2RY6,L,Human
6794,PYY2,P2RY8,LR,Human
6795,PYY2,PTAFR,LR,Human
6796,PYY2,S1PR2,L,Human
6797,PYY2,TLR10,LR,Human
6798,PYY3,GPER1,LR,Human
6799,PYY3,GRM2,L,Human
6800,PYY3,P2RY1,LR,Human
6801,PYY3,P2RY2,LR,Human
6802,PYY3,P2RY4,LR,Human
6803,PYY3,P2RY8,LR,Human
6804,REG3A,INSRR,LR,Human
6805,REG3A,LRP1B,L,Human
6806,RNASET2,GPER1,LR,Human
6807,RNASET2,GRM2,L,Human
6808,RNASET2,P2RY1,LR,Human
6809,RNASET2,P2RY4,LR,Human
6810,RNASET2,P2RY8,LR,Human
6811,RNASET2,S1PR2,L,Human
6812,RTBDN,ADGRL3,LR,Human
6813,RTBDN,INSRR,LR,Human
6814,RTBDN,LRP1B,L,Human
6815,RTBDN,NFASC,L,Human
6816,SAMD1,ADGRL3,LR,Human
6817,SAMD1,DSCAML1,LR,Human
6818,SAMD1,INSRR,LR,Human
6819,SAMD1,LRP1B,L,Human
6820,SAMD1,NFASC,L,Human
6821,SAMD1,PTPRD,L,Human
6822,SAMD1,SDK1,LR,Human
6823,SAMD1,SDK2,L,Human
6824,SCG2,CASR,L,Human
6825,SCG2,CD180,L,Human
6826,SCG2,CHRM2,L,Human
6827,SCG2,GPER1,LR,Human
6828,SCG2,GPR132,LR,Human
6829,SCG2,GPR17,LR,Human
6830,SCG2,GPR4,LR,Human
6831,SCG2,GPR87,LR,Human
6832,SCG2,GRM2,L,Human
6833,SCG2,INSRR,LR,Human
6834,SCG2,P2RY1,LR,Human
6835,SCG2,P2RY2,LR,Human
6836,SCG2,P2RY4,LR,Human
6837,SCG2,P2RY8,LR,Human
6838,SCG3,CHRM2,L,Human
6839,SCG3,GPER1,LR,Human
6840,SCG3,GRM2,L,Human
6841,SCG3,GRM6,LR,Human
6842,SCG3,P2RY1,LR,Human
6843,SCG5,GPER1,LR,Human
6844,SCGB1C1,CASR,L,Human
6845,SCGB1C1,CHRM2,L,Human
6846,SCGB1C1,CHRM5,L,Human
6847,SCGB1C1,DRD3,L,Human
6848,SCGB1C1,FFAR3,LR,Human
6849,SCGB1C1,GPER1,LR,Human
6850,SCGB1C1,GPR132,LR,Human
6851,SCGB1C1,GPR15,LR,Human
6852,SCGB1C1,GPR17,LR,Human
6853,SCGB1C1,GPR174,LR,Human
6854,SCGB1C1,GPR183,LR,Human
6855,SCGB1C1,GPR34,LR,Human
6856,SCGB1C1,GPR4,LR,Human
6857,SCGB1C1,GPR87,LR,Human
6858,SCGB1C1,GRM2,L,Human
6859,SCGB1C1,GRM6,LR,Human
6860,SCGB1C1,GRM8,L,Human
6861,SCGB1C1,LPAR5,LR,Human
6862,SCGB1C1,LTB4R,LR,Human
6863,SCGB1C1,P2RY1,LR,Human
